"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MergeCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.44993818,0.43226603,0.44543022,0.34703833,0.38816395,0.34971693,0.371762,0.2607699,0.31155506,0.37146026,0.32599303,0.26942095,0.2998179,0.32884988,0.33652014,0.3128699,0.38384014,0.3980164,0.34900048,0.25139758,0.40902346,0.44993818,0.33965203,0.28653303,0.30862466,0.4289336,0.39940023,0.3434241,0.40902346,0.33891162,0.4446692,0.40991154,0.30874306,0.39796036,0.38384014,0.24989925,0.33756462,0.34176126,0.29790768,0.2582176,0.34407178,0.34095392,0.26407513,0.35347843,0.3227072,0.37933907,0.24942097
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class MergeCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.004560338,0.062348954,0.048032627,0.037883956,0.074988171,0.029159525,0.137218624,0.143688589,0.123016186,0.112305552,0.170826972,0.068987861,0.042578645,0.02882106,0.001184307,0.005031401,-0.008500169,0.060565442,0.020514915,0.023657396,-0.029724691,-0.004560338,-0.013898631,0.139109179,-0.049063183,0.172650099,0.057119422,-0.05447907,-0.029724691,0.056632742,0.015357999,0.036258299,-0.008575134,0.048834298,-0.008500169,0.088359118,-0.074678659,-0.003210836,0.060840063,-0.019674912,0.015332283,0.074530751,0.055352308,0.054366171,0.1047142,-0.03058552,-0.032979686
method query of class ContentProvider has parameters  returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentProvider has parameters  returns,0.089701474,0.036502659,0.14142102,0.04358191,0.072015382,-0.020169962,0.112332851,-0.009631727,0.03943269,-0.04131557,-0.011661451,0.087252438,-0.019039936,0.027548468,-0.07833717,0.042833753,-0.00646098,0.031232476,0.071457237,0.022565689,-0.034443308,0.089701474,0.018201733,-0.001906062,0.00125625,0.045579381,0.004635025,-0.009326182,-0.034443308,0.083226115,0.023964934,0.110633239,-0.000202778,0.028408688,-0.00646098,0.066423818,0.042816922,0.028256517,0.112554513,0.040446598,-0.043601699,0.135097593,0.025969692,0.015382075,0.076297387,-0.00078945,0.087008432
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentProvider has parameters  returns,0.148041949,0.029678227,0.049019124,0.017964341,0.0740567,0.018995168,0.05877031,0.044984855,0.025897695,0.005780503,0.066869572,0.026319714,0.046779335,0.037504062,-0.008167299,0.076827809,0.073103413,0.05470356,-0.004414781,0.048849531,0.027870385,0.148041949,0.046909027,0.099306464,-0.020116443,0.059630059,0.012368387,0.073623583,0.027870385,0.027401315,-0.0252661,0.160683796,0.050970983,0.093995363,0.073103413,0.123992875,0.108093098,0.06303329,0.062016297,0.125904903,-0.02062344,0.062971093,0.091531031,0.080108687,0.037832744,0.110753484,0.084170312
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentProvider has parameters  returns,0.87534219,0.873713195,0.86283648,0.873730779,0.893955529,0.923766077,0.881236792,0.901775301,0.893354595,0.877395988,0.873407006,0.915600836,0.925064802,0.877377927,0.907401502,0.915074825,0.912438571,0.902413726,0.926975727,0.910495877,0.878081381,0.87534219,0.881234944,0.915231228,0.901928663,0.928059995,0.899308085,0.903084755,0.878081381,0.869258821,0.872673929,0.875821352,0.901492238,0.878091514,0.912438571,0.909110785,0.915465176,0.9103055,0.871277869,0.914373994,0.893013537,0.906010926,0.914888263,0.905339658,0.904993057,0.900236547,0.905654907
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentProvider has parameters  returns,0.36688974,0.25357705,0.32304943,0.016692098,0.21819776,0.13298444,0.06451805,0.008786747,0.097405404,0.15960264,0.14861941,0.003164438,0.046153244,0.010547463,0.013571397,0.002531834,0.09791395,0.25902906,0.12995827,0.034607064,0.09747156,0.36688974,0.011767568,0.105940975,0.20115632,0.1459749,0.33490267,0.10408713,0.09747156,0.005420899,0.2699649,0.3887601,0.018739251,0.2833446,0.09791395,0.18351261,0.00814121,0.029540261,0.048775423,0.00228738,0.14364488,0.015796708,0.002312429,0.06346014,0.1651656,0.012491599,0.002292136
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentProvider has parameters  returns,0.071366906,-0.046433404,0.076497406,0.012932083,0.095323354,-0.080559865,0.108294234,0.086184479,0.053970605,0.006342934,0.056711998,0.009995707,0.038589664,0.050531223,-0.077609956,0.061972737,-0.073498584,0.011041841,-0.002618052,0.087519482,0.02087364,0.071366906,0.027857168,0.079328015,-0.063082382,-0.016722728,0.066551775,-0.016815798,0.02087364,0.057510249,-0.009793686,0.104155719,0.025933614,0.012688724,-0.073498584,0.052027695,0.129017994,-0.021718705,-0.001120601,0.089086309,-0.062713563,0.088261694,0.081893086,0.108340494,0.14219816,0.102602407,0.051751141
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor a Cursor or null . |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor a Cursor or null . |||",0.077794828,0.132339686,0.039751895,-0.078927398,0.080682978,-0.048240565,0.108763441,-0.009615494,-0.043185934,-0.000997642,0.056355327,0.06888628,-0.002888349,-0.031771891,0.014190305,-0.046094641,0.075332195,0.059891757,0.059575774,0.067938,-0.023683012,0.077794828,0.001657026,0.027691407,0.007982325,0.135926992,0.083075121,-0.082987122,-0.023683012,0.101006046,0.106235996,0.161999539,0.08011058,-0.00095191,0.075332195,0.057526868,0.073916115,0.083161205,0.057067078,0.02846228,0.054333791,0.129773408,-0.06635052,-0.021120427,-0.018415947,0.141941652,0.049410067
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor a Cursor or null . |||",0.083866253,0.093803883,-0.003499281,-0.035587303,0.087865926,0.03082093,0.036909331,0.06429027,0.069124505,0.00945155,0.096623361,0.019127665,0.060954783,0.040667273,0.046084099,0.037441354,0.126691699,0.042316668,0.048047416,0.016159473,0.002415556,0.083866253,0.071867943,0.130797938,-0.026728097,0.081411935,0.06390813,0.096708216,0.002415556,0.001210241,0.023838194,0.157809168,0.077105932,0.103612497,0.126691699,0.101637483,0.171213731,0.107352652,0.0388963,0.118659623,-0.016253559,0.046501804,0.103749096,0.09310203,0.007439358,0.166740298,0.063473582
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor a Cursor or null . |||",0.832507074,0.830049098,0.81514138,0.823734403,0.851796091,0.877142787,0.838759482,0.853658199,0.844307184,0.832121789,0.827285469,0.866511762,0.876549363,0.831535161,0.874342561,0.867642283,0.874328017,0.848887026,0.882847011,0.865815103,0.832043946,0.832507074,0.836017549,0.865128815,0.853231847,0.889375865,0.856746316,0.850407302,0.832043946,0.823307037,0.832906902,0.83179307,0.869265437,0.833024442,0.874328017,0.859465241,0.875864625,0.875555873,0.824279547,0.867993534,0.847697079,0.868700445,0.873685718,0.850723505,0.850539327,0.868343294,0.873280823
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor a Cursor or null . |||",0.4961178,0.4881656,0.49153748,0.48543692,0.48789886,0.48071945,0.48901737,0.48588425,0.47691116,0.48618376,0.48283917,0.46167862,0.46757364,0.4781579,0.45887813,0.45111015,0.4732359,0.48504528,0.47467163,0.46502984,0.49038073,0.4961178,0.48120672,0.4675332,0.48613745,0.4829512,0.48882863,0.48238537,0.49038073,0.47625765,0.49263954,0.49049762,0.45951465,0.4905435,0.4732359,0.48572484,0.475092,0.46839657,0.4836835,0.4561981,0.47545654,0.47490382,0.4613668,0.48706475,0.47742796,0.48325986,0.45247534
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor a Cursor or null . |||",0.075362787,0.081643745,0.107418507,-0.000717022,0.181195572,-0.06758219,0.08003965,0.066936441,0.052865367,-0.022404499,0.077979811,-0.033753265,0.01791651,0.058827192,-0.037317529,-0.036084622,-0.010517579,0.014485,0.051505882,0.086759053,0.046847373,0.075362787,0.07234183,0.121152669,-0.070332438,-0.003363652,0.117039502,-0.056127109,0.046847373,0.106909424,0.090145424,0.149005741,0.054471944,0.081714809,-0.010517579,0.025128782,0.139701784,0.009184096,0.025353104,0.056558516,-0.031921785,0.091137111,0.035189264,0.104851708,0.103624076,0.162302002,0.022167716
"method query of class ContentProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. ||| returns Cursor a Cursor or null . |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
